week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total,station_id,year,month,season
2003-01-05,0.0459499893139559,0.0042708968883465,0.1795651555398008,0.625,1.5977412338503756e-09,0.0110012305958752,0.0063246268656716,0.036144578313253,0.0647839813173031,0.0069570189650243,0.0388071895424836,0.0052707122520529,0.5995995995995996,0.0064130340584106,283,2003.0,1.0,1.0
2003-01-12,0.0438127805086556,0.0018303843807199,0.1998544765938194,0.62109375,1.1686865235091095e-09,0.0112532803534627,0.0091884328358208,0.036144578313253,0.06938635068916393,0.0034565897253284595,0.053821846894975996,0.02126657062809374,0.6504674020373483,0.00837162022200767,283,2003.0,1.0,1.0
2003-01-19,0.0415687112630903,0.012202562538133,0.2000876871806472,0.626953125,2.938537203666834e-09,0.0125431820540572,0.0151119402985074,0.036144578313253,0.0647839813173031,0.0120397725467772,0.0388071895424836,0.0240946845808136,0.6504842287980191,0.00836993948999813,283,2003.0,1.0,1.0
2003-01-26,0.0414618508228253,0.0048810250152532,0.1758337861505561,0.48828125,2.9653531230631637e-09,0.0126543804765223,0.011240671641791,0.03697593712889068,0.07152909527253193,0.0037154048978434565,0.06112186230565835,0.021353215683761296,0.6493951722062788,0.008327733990971024,283,2003.0,1.0,1.0
2003-02-02,0.03900406069673,0.4600366076876144,0.1527459380546039,0.541015625,1.302766120490755e-09,0.0118537518347739,0.1315298507462686,0.036144578313253,0.0758667301862896,0.0042532650010266545,0.10195991410319574,0.02288504413833332,0.6587457876868401,0.008221639182261632,283,2003.0,2.0,1.0
2003-02-09,0.0393246420175251,0.0390482001220256,0.1768832337912811,0.515625,3.372467535716524e-09,0.0153898616691624,0.0243470149253731,0.03765097468534763,0.07332078984265243,0.0040524942472482265,0.1090537092879763,0.023637332540783953,0.6579469938280982,0.008159372594342107,283,2003.0,2.0,1.0
2003-02-16,0.0393246420175251,0.0109823062843197,0.2054515306776866,0.49609375,5.120377918186344e-09,0.0118240989221166,0.055410447761194,0.036144578313253,0.0647839813173031,0.050160424409924,0.0388071895424836,0.0652721240499776,0.6591743796266322,0.008199693821796696,283,2003.0,2.0,1.0
2003-02-23,0.0352639452874545,0.024405125076266,0.1290750634915822,0.51171875,9.593760835664893e-09,0.0116313549898438,0.1459888059701492,0.03758418855360003,0.07145142399078622,0.0038510711637196543,0.11603580709714849,0.024253648514794543,0.6577800130496256,0.008158300184822463,283,2003.0,2.0,1.0
2003-03-02,0.0325924342808292,0.3685173886516169,0.1254136572783858,0.591796875,5.478736113755469e-09,0.0114608507420641,0.3002332089552239,0.036144578313253,0.07984582025456118,0.006847359687033866,0.06556861496631793,0.02112381864924857,0.6464242889645853,0.007512809713026125,283,2003.0,3.0,2.0
2003-03-09,0.0354776661679846,0.06175281703760921,0.0916447643057204,0.484375,7.3070942544142774e-09,0.0113867184604207,0.0863805970149253,0.03676544391166918,0.06919241089691876,0.010722517471053742,0.04643562251402279,0.02302821706683165,0.6124327693559009,0.006701622801484558,283,2003.0,3.0,2.0
2003-03-16,0.0384697584954049,0.2043929225137278,0.1169481129765366,0.630859375,4.4865470960912915e-09,0.011436511152119452,0.0232276119402985,0.036144578313253,0.0647839813173031,0.069538422440357,0.0388071895424836,0.0329184216099202,0.5995995995995996,0.0064130340584106,283,2003.0,3.0,2.0
2003-03-23,0.0384697584954049,0.0115924344112263,0.1093104662579262,0.4921875,4.8083381288472424e-09,0.0114237846012424,0.0190298507462686,0.03669133397001909,0.06878006491202854,0.010693318345210274,0.04568772362741283,0.023261304546889704,0.6112085723447815,0.006673309667889024,283,2003.0,3.0,2.0
2003-03-30,0.0381491771746099,0.0067114093959731,0.0816050485427836,0.560546875,4.523114258904467e-09,0.0108752057170815,0.010401119402985,0.036144578313253,0.06849144255848047,0.00982829137826935,0.045174967997373514,0.023780344221530848,0.6104309369067723,0.006652908691597181,283,2003.0,3.0,2.0
2003-04-06,0.0374011540927548,0.0622330689444783,0.0940934754674123,0.498046875,5.103313242206862e-09,0.010556436906015,0.0311100746268656,0.0366560453491596,0.07170255420778544,0.003474215447015285,0.055296733750102585,0.018236141191122088,0.6518264698156302,0.007978950428318666,283,2003.0,4.0,2.0
2003-04-13,0.039110921136995,0.0073215375228798,0.1228949829406455,0.587890625,2.1828158388611934e-09,0.0105712633623437,0.0039785447761194,0.036144578313253,0.0647839813173031,0.0299882461323422,0.0388071895424836,0.0258594319866349,0.6537711817191907,0.008022999123439496,283,2003.0,4.0,2.0
2003-04-20,0.0409275486215003,0.0018303843807199,0.1018827090674608,0.4609375,1.53435815164087e-09,0.0130917609382181,0.0035494402985074,0.036438716221098434,0.0723697695355397,0.0035734049146112458,0.056864757201064604,0.018072044135260572,0.6518166656318563,0.007978434905490375,283,2003.0,4.0,2.0
2003-04-27,0.0442402222697157,0.0030506406345332,0.0972884605069531,0.529296875,1.4856019345566361e-09,0.0142111583910329,0.0050513059701492,0.036144578313253,0.06996136470450692,0.0031845841886768145,0.05117298130597062,0.018644682266300942,0.654304589513335,0.008020535424202077,283,2003.0,4.0,2.0
2003-05-04,0.0412481299422953,0.0018303843807199,0.1277924052640293,0.62890625,1.0126666288395579e-09,0.0122911322964698,0.0034048507462686,0.036283483843015406,0.06448361213501363,0.0015877930702332516,0.14133358278899047,0.003274895883933272,0.5379554862909597,0.007771861178210234,283,2003.0,5.0,2.0
