week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total,station_id,year,month,season
2003-01-05,0.0397520837785851,0.0036607687614399,0.1926249484021576,0.52734375,1.3021368791647023e-07,0.0105416104496864,0.0082089552238805,0.036144578313253004,0.07198370025082762,0.005374614012627074,0.054762449643943764,0.021728304883212653,0.7466969547551677,0.009565058293031285,281,2003.0,1.0,1.0
2003-01-12,0.0380423167343449,0.0018303843807199,0.221309850581977,0.58203125,1.010860475139222e-07,0.0115201565673788,0.0034514925373134,0.036144578313253,0.07123007663461502,0.005224771329598705,0.052927238732867324,0.021736666771084493,0.7466391552091599,0.009565878071350334,281,2003.0,1.0,1.0
2003-01-19,0.038683479375935,0.0018303843807199,0.1984552130728526,0.58203125,4.456715763671574e-08,0.0117425534123089,0.0098880597014925,0.036144578313253004,0.07091752682771486,0.005129589794683564,0.052287600069334875,0.021719969368903948,0.74674391466909,0.009565344684683248,281,2003.0,1.0,1.0
2003-01-26,0.038683479375935,0.0030506406345332,0.19449063309678,0.578125,1.1101790630080275e-09,0.0114015449167494,0.0061567164179104,0.036144578313253,0.07094928906888452,0.005132883647601177,0.05236667931580364,0.02171741520061994,0.7467502731477839,0.00956527585664599,281,2003.0,1.0,1.0
2003-02-02,0.0382560376148749,0.0018303843807199,0.1471488839707367,0.46875,8.712735992952767e-10,0.0147671505033581,0.0023973880597014,0.036580063155501434,0.07860225813144137,0.008117432005610976,0.11408196036191563,0.024860659721819552,0.7948654850001895,0.0072583006305363485,281,2003.0,2.0,1.0
2003-02-09,0.038683479375935,0.0067114093959731,0.2012537401147862,0.556640625,1.5806765578708935e-09,0.012254709690655712,0.0065858208955223,0.036722471652898395,0.08249342966792082,0.007851779116710852,0.11092765232922198,0.024152406293479853,0.7940833352882025,0.007254914862435668,281,2003.0,2.0,1.0
2003-02-16,0.038897200256465,0.0097620500305064,0.2339032222706782,0.5625,3.9624177624357665e-09,0.0123726778062775,0.0131529850746268,0.03678527398911841,0.08344585178933071,0.007808767632178859,0.11011174010521449,0.023981887473745796,0.7958957623364485,0.007262760492998097,281,2003.0,2.0,1.0
2003-02-23,0.0359051079290446,0.0256253813300793,0.1949570542704356,0.61328125,5.249581893459566e-09,0.010334040061085,0.017910447761194,0.03677627623451872,0.08411003851393634,0.007710917977085309,0.10967221882009776,0.023854505654452574,0.7960888887529769,0.007263596498241672,281,2003.0,2.0,1.0
2003-03-02,0.0354776661679846,0.010372178157413,0.173501680282278,0.765625,1.467150925927754e-07,0.0122170000148264,0.0115671641791044,0.036144578313253,0.0647839813173031,0.018039554397951033,0.04459847531096922,0.02712984949461289,0.6263113295156626,0.0067599231066749225,281,2003.0,3.0,2.0
2003-03-09,0.0376148749732848,0.0085417937766931,0.1076663316207902,0.54296875,1.9965752111848795e-07,0.0118315121502809,0.0096082089552238,0.03614457831325299,0.06666578072151241,0.0223384447448375,0.04145682066153705,0.028933546437785007,0.6065686242440091,0.006473369058148575,281,2003.0,3.0,2.0
