week,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total
2003-01-05,0.0397520837785851,0.0036607687614399,0.1926249484021576,0.52734375,2.915314617469614e-07,0.0105416104496864,0.0082089552238805,0.00963855421686746,0.00030272888466020007,0.0034754915975729397,0.06905637254901915,0.00637073813501488,0.0016016016016016,0.00079729612618074
2003-01-12,0.0380423167343449,0.0018303843807199,0.221309850581977,0.58203125,7.748225879727309e-07,0.0115201565673788,0.0034514925373134,0.03855421686746984,0.05547290576482285,0.01521649353537274,0.04129901960784309,0.006529565401538799,0.41761761761761756,0.00519975734465718
2003-01-19,0.038683479375935,0.0018303843807199,0.1984552130728526,0.58203125,6.017867735407815e-07,0.0117425534123089,0.0098880597014925,0.01927710843373492,0.035691735501448704,0.00510149623558558,0.0532271241830065,0.0077531236029082405,0.21121121121121117,0.0038131553860819207
2003-01-26,0.038683479375935,0.0030506406345332,0.19449063309678,0.578125,1.1101790630080275e-09,0.0114015449167494,0.0061567164179104,0.01927710843373492,0.035691735501448704,0.00510149623558558,0.0532271241830065,0.00775312360290824,0.21121121121121117,0.0024265534275066604
2003-02-02,0.0382560376148749,0.0018303843807199,0.1471488839707367,0.46875,8.712735992952767e-10,0.0147671505033581,0.0023973880597014,0.014457831325301198,0.00021623491761439995,0.002207821087073891,0.1325571895424836,0.004388338549142281,0.0147147147147147,0.0008666262241095
2003-02-09,0.038683479375935,0.0067114093959731,0.2012537401147862,0.556640625,1.5806765578708935e-09,0.00880098447670018,0.0065858208955223,0.01927710843373492,0.037871383471002815,0.01298008195940146,0.07622549019607798,0.0063413256782512,0.21321321321321318,0.00225322818268476
2003-02-16,0.038897200256465,0.0097620500305064,0.2339032222706782,0.5625,3.9624177624357665e-09,0.0123726778062775,0.0131529850746268,0.03614457831325298,0.048402023958828796,0.0123711045458877,0.04773284313725484,0.0063148544671638804,0.3215215215215215,0.0034665048964381204
2003-02-23,0.0359051079290446,0.0256253813300793,0.1949570542704356,0.61328125,5.249581893459566e-09,0.010334040061085,0.017910447761194,0.00963855421686746,0.017904251178480237,0.0009377045014136154,0.12397875816993462,0.07903715381538387,0.11371371371371368,0.00398093422306952
2003-03-02,0.0354776661679846,0.010372178157413,0.173501680282278,0.765625,1.282468907318588e-07,0.0122170000148264,0.0115671641791044,0.03614457831325298,0.0186645331488128,0.00350455859461858,0.07148692810457509,0.0033294901056494996,0.20880880880880875,0.00589305832394482
2003-03-09,0.0376148749732848,0.0085417937766931,0.1076663316207902,0.54296875,7.609236531685281e-08,0.0118315121502809,0.0096082089552238,0.028915662650602397,0.0007351987198892,0.00510499062867304,0.0613970588235294,0.0028935974964116396,0.011611611611611599,0.0005199757344657001
2003-03-16,0.0318444111989741,0.0048810250152532,0.1275591946772015,0.6328125,1.5343581516408706e-09,0.01021691105608844,0.0074160447761194,0.036144578313253,0.01139990485663618,0.006282124590997119,0.05316584967320256,0.00525953551848274,0.10670670670670668,0.00211456798682724
2003-03-23,0.0395383628980551,0.0054911531421598,0.1119574064184217,0.4921875,1.6123680989756463e-09,0.0109715776832179,0.0089085820895522,0.007228915662650599,0.00077844570341212,0.00425648845261916,0.07602124183006533,0.00404774229981876,0.0052052052052052,0.0006239708813588399
2003-03-30,0.0395383628980551,0.0030506406345332,0.1319901958269297,0.51171875,9.496589695016012e-08,0.0108826189452458,0.0056996268656716,0.007228915662650599,0.00185962029148458,0.0035169478064741,0.09648692810457513,0.003968328666556819,0.012832832832832819,0.00055464078343008
2003-04-06,0.0367599914511647,0.0018303843807199,0.0851615099919075,0.5546875,1.5800281001836734e-07,0.0109122718579032,0.0070149253731343,0.0216867469879518,0.0007870951001166801,0.005766383938498621,0.043423202614379056,0.004167745123414639,0.012012012012012,0.00038131553860818
2003-04-13,0.0374011540927548,0.0036607687614399,0.1117475168902767,0.5703125,4.971525187428174e-08,0.0115794623926935,0.0036940298507462,0.04337349397590358,0.0002162349176144,0.0036564058578734404,0.08047385620915029,0.00485893785736132,0.006806806806806799,0.0006933009792876
2003-04-20,0.0378285958538149,0.0097620500305064,0.1140329806411891,0.609375,5.745968939594162e-08,0.0148116298723442,0.0123134328358208,0.02650602409638552,0.01034900315702972,0.006845674894373979,0.07044526143790845,0.00865961552036516,0.10390390390390387,0.00211456798682724
2003-04-27,0.0427441761060055,0.0042708968883465,0.1142661912280169,0.56640625,4.971525187428175e-08,0.01273592598633,0.0065205223880597,0.036144578313252976,0.00025948190113729997,0.00360240160106732,0.06331699346405226,0.005329537165580339,0.0082082082082082,0.0006933009792876
2003-05-04,0.0322718529600341,0.0018303843807199,0.1086691371441497,0.59765625,6.272341059235561e-08,0.0119501238009103,0.0041138059701492,0.02650602409638552,0.010349003157029722,0.006845674894373979,0.07044526143790847,0.00865961552036516,0.10390390390390387,0.00211456798682724
2003-05-11,0.0376148749732848,0.0018303843807199,0.1122372591226151,0.4609375,1.1226460277164662e-07,0.0143371832698266,0.0038805970149253,0.0216867469879518,0.000389222851706,0.0031938752819339203,0.037990196078431335,0.0024588813854443197,0.0072072072072072,0.0006933009792876
2003-05-18,0.0374011540927548,0.0018303843807199,0.1089023477309775,0.453125,8.08070915088983e-08,0.0139665218616098,0.0032835820895522,0.0216867469879518,0.00043246983522890004,0.0029095587534546203,0.06821895424836598,0.0022941716275676595,0.0106106106106106,0.0005199757344657001
