Date,Potencial de Hidrógeno (in situ),Conductividad Eléctrica,Temperatura de la muestra,Oxígeno disuelto (en campo),Caudal,Turbiedad,Sólidos Suspendidos Totales,Potencial rédox,Cobre total,Arsénico total,Cadmio total,Plomo total,Zinc total,Mercurio total,Hierro total,Selenio total,Manganeso total,Potasio total,Cromo Total,Sodio total
2003-01-05,0.6390977443609023,0.20125628140703516,0.8313725490196078,0.8426349496797805,0.0,0.013205944798301486,0.031714568880079286,0.0,0.018789844536405323,0.052631578947368425,0.6,0.375,0.028328611898016998,0.012890750886239125,0.036726926736441484,0.34347826086956523,0.011072179397337071,0.0,0.05780346820809249,0.0
2003-01-12,0.6213032581453634,0.17876884422110553,0.5803921568627451,0.8096980786825253,0.0,0.696135881104034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,0.6341353383458647,0.20351758793969849,0.6101960784313726,0.8486733760292772,0.0003624522157723347,0.037545647558386415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-26,0.631578947368421,0.18257956448911222,0.5019607843137255,0.8301311375419335,0.00035112558402944924,0.023602264685067233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,0.6266917293233083,0.15175879396984926,0.5352941176470588,0.8064958828911255,0.00018618150927367976,0.08004246284501063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,0.6248120300751879,0.19480737018425462,0.5555555555555556,0.9524245196706314,0.0004863372504601444,0.057395612172682235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,0.6221804511278194,0.20948492462311558,0.5323529411764706,0.5800548947849954,0.0006387158431261504,0.14129511677282378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-23,0.6127819548872181,0.16683417085427135,0.5503267973856208,0.7724916132967369,0.0010647033838312335,0.22399150743099788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,0.6097744360902255,0.13170854271356786,0.5588235294117647,0.737419945105215,0.001041342205861532,0.9846072186836518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,0.6165413533834586,0.09849246231155778,0.5058823529411764,0.7639524245196706,0.0010576242389919298,0.17388535031847135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-16,0.6199248120300752,0.12562814070351758,0.6078431372549019,0.0,0.0006427863514087499,0.06613588110403397,0.1823587710604559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17002854424357755,0.0,0.10084092501751928,0.0,0.0,0.0
2003-03-23,0.6300751879699248,0.11155778894472362,0.5411764705882354,0.7410795974382434,0.000599603567888999,0.048407643312101914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-30,0.6300751879699248,0.13316582914572864,0.5098039215686274,0.747483989021043,0.00045518901316720945,0.013885350318471337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,0.618045112781955,0.11889447236180904,0.5019607843137255,0.6989935956084172,0.00046439190145830387,0.020445859872611466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-13,0.6398496240601503,0.12361809045226131,0.48627450980392156,0.6935041171088747,0.0002845816225399972,0.0066454352441613585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-20,0.6255639097744361,0.11155778894472362,0.42352941176470593,0.8737419945105216,0.0003291802350276087,0.011061571125265393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-27,0.656390977443609,0.10396984924623116,0.4666666666666667,0.8554437328453797,0.0,0.007813163481953291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-11,0.6240601503759399,0.11376884422110553,0.4117647058823529,0.940530649588289,0.00014158289678606827,0.005944798301486199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-18,0.6142857142857142,0.12218592964824121,0.6823529411764705,0.7456541628545289,0.0,0.008067940552016985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-25,0.6090225563909774,0.0,0.4588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-08,0.6240601503759399,0.08595477386934675,0.4627450980392157,0.9011893870082343,0.0001047713436216905,0.007006369426751592,0.011892963330029732,0.0,0.004324646758379003,0.0,0.0,0.0,0.0,0.0,0.012369172216936251,0.0,0.0,0.0,0.0,0.0
2003-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-29,0.6218045112781955,0.23693467336683416,0.4745098039215686,0.18298261665141813,0.0,0.013163481953290871,0.0,0.0,0.0035790180069343474,0.052631578947368425,0.6,0.375,0.0,0.0064453754431195625,0.01065651760228354,0.0,0.0028030833917309043,0.0010359948839758816,0.05780346820809249,0.015654993514915696
2003-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-10,0.6052631578947368,0.15879396984924624,0.2980392156862745,1.0,8.636556703950163e-05,0.004607218683651804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260869565217391,0.0,0.0,0.0,0.0
2003-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-07,0.6255639097744361,0.1844221105527638,0.6039215686274509,0.8398902104300091,1.8122610788616736e-05,0.005329087048832271,0.009910802775024777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009419600380589916,0.0,0.009460406447091802,0.0,0.0,0.0
2003-09-14,0.0,0.0,0.0,0.0,1.7627070649865497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
