Date,Potencial de Hidrógeno (in situ),Conductividad Eléctrica,Temperatura de la muestra,Oxígeno disuelto (en campo),Turbiedad,Caudal,Sólidos Suspendidos Totales,Cobre total,Zinc total,Arsénico total,Cadmio total,Plomo total,Potencial rédox,Mercurio total,Hierro total,Manganeso total,Cromo Total,Magnesio total,Niquel total,Sólidos Disueltos Totales
2003-01-05,0.15671921921921922,0.21789473684210525,0.547244094488189,0.11753846153846154,0.01756487025948104,0.0,0.007928642220019821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22143522833178006
2003-01-12,0.1552177177177177,0.25026315789473685,0.6023622047244095,0.12769230769230772,0.007385229540918164,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23560111835973904
2003-01-19,0.15578078078078078,0.22447368421052633,0.6023622047244095,0.12999999999999998,0.021157684630738523,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886300093196645
2003-01-26,0.15578078078078078,0.22,0.5984251968503937,0.12646153846153846,0.013173652694610778,5.8139534883720933e-05,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18005591798695247
2003-02-02,0.15559309309309308,0.17140350877192984,0.5,0.15153846153846154,0.0057950765136393885,5.170542635658914e-05,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18564771668219945
2003-02-09,0.15496746746746748,0.22403508771929825,0.6036745406824148,0.0,0.013386560212907518,7.457364341085269e-05,0.01288404360753221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2136067101584343
2003-02-16,0.1560153903903904,0.26835526315789476,0.6053149606299213,0.13653846153846153,0.02654690618762475,0.00017662790697674417,0.017839444995044598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3336439888164026
2003-02-23,0.15334084084084085,0.22052631578947368,0.6338582677165355,0.11538461538461539,0.03832335329341317,0.0002555813953488372,0.04360753221010902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5781919850885369
2003-03-02,0.15296546546546547,0.19631578947368422,0.7874015748031497,0.13492307692307692,0.02475049900199601,0.0,0.018830525272547076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3951537744641193
2003-03-09,0.15484234234234234,0.12202631578947368,0.5629921259842521,0.13092307692307692,0.020558882235528944,0.0,0.015857284440039643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195712954333644
2003-03-16,0.14977477477477477,0.1444736842105263,0.6535433070866142,0.0,0.01586826347305389,7.837209302325582e-05,0.009910802775024777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028721998169925784,0.009408740359897172,0.0,0.0,0.0,0.21658900279589935
2003-03-23,0.15653153153153151,0.12686842105263157,0.5118110236220472,0.122,0.01906187624750499,8.209302325581394e-05,0.010901883052527254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968313140726934
2003-03-30,0.15653153153153151,0.14947368421052631,0.531496062992126,0.12107692307692308,0.01219560878243513,0.0,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19794967381174278
2003-04-06,0.1540915915915916,0.09663157894736842,0.5748031496062992,0.12138461538461538,0.015009980039920158,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1897483690587139
2003-04-13,0.15465465465465467,0.12663157894736843,0.5905511811023623,0.12830769230769232,0.007904191616766467,0.0,0.007928642220019821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21584342963653308
2003-04-20,0.15503003003003002,0.12921052631578947,0.6299212598425197,0.16184615384615383,0.026347305389221556,0.0,0.017839444995044598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087604846225536
2003-04-27,0.15934684684684686,0.12947368421052632,0.5866141732283465,0.1403076923076923,0.013952095808383235,0.0,0.008919722497522299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21435228331780057
2003-05-04,0.15015015015015015,0.1231578947368421,0.6181102362204725,0.13215384615384615,0.008802395209580838,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623
2003-05-11,0.15484234234234234,0.1271842105263158,0.48031496062992124,0.15692307692307692,0.008303393213572855,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2195712954333644
2003-05-18,0.15465465465465467,0.12342105263157895,0.4724409448818898,0.15307692307692305,0.007025948103792415,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19012115563839702
2003-05-25,0.15390390390390388,0.11578947368421053,0.4409448818897638,0.14015384615384616,0.005009980039920159,4.7441860465116275e-05,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18341099720410065
2003-06-01,0.14846096096096095,0.11263157894736842,0.4330708661417323,0.15353846153846154,0.00437125748502994,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204287045666356
2003-06-08,0.15596846846846849,0.09976315789473685,0.5669291338582677,0.14046153846153847,0.0054491017964071855,4.069767441860465e-05,0.004955401387512388,0.00523424899976773,0.0,0.0,0.0,0.0,0.0,0.0,0.009912902023248722,0.0,0.0,0.0,0.0,0.15768872320596458
2003-06-15,0.15746996996996998,0.09160526315789475,0.45275590551181105,0.1413846153846154,0.004750499001996008,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2136067101584343
2003-06-22,0.14508258258258258,0.09239473684210527,0.3622047244094488,0.15046153846153845,0.009780439121756487,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2124883504193849
2003-06-29,0.14846096096096095,0.0953421052631579,0.4330708661417323,0.158,0.00562874251497006,3.697674418604651e-05,0.005946481665014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087604846225536
2003-07-06,0.14451951951951952,0.09255263157894736,0.42913385826771655,0.14615384615384616,0.01215568862275449,0.0,0.011892963330029732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2147250698974837
2003-07-13,0.14414414414414414,0.09868421052631579,0.37401574803149606,0.14076923076923079,0.006287425149700598,0.0,0.005946481665014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18154706430568499
2003-07-20,0.15296546546546547,0.16447368421052633,0.3464566929133859,0.15569230769230769,0.004650698602794412,0.0,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16589002795899346
2003-07-27,0.14921171171171171,0.18078947368421053,0.531496062992126,0.14246153846153845,0.00686626746506986,0.0,0.007928642220019821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027958993476235
2003-08-03,0.1525900900900901,0.20710526315789474,0.5905511811023623,0.13184615384615386,0.0071656686626746504,3.2093023255813954e-05,0.009910802775024777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703
2003-08-10,0.1512762762762763,0.19447368421052633,0.48031496062992124,0.13876923076923076,0.006427145708582834,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29972041006523764
2003-08-17,0.14902402402402404,0.22394736842105264,0.6220472440944883,0.1403076923076923,0.0071656686626746504,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863000931966449
2003-08-24,0.15390390390390388,0.18947368421052632,0.37401574803149606,0.14323076923076924,0.013672654690618761,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754892823858341
2003-08-31,0.15765765765765766,0.21447368421052632,0.673228346456693,0.13615384615384615,0.022754491017964073,0.0,0.009910802775024777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2952469711090401
2003-09-07,0.15746996996996998,0.24710526315789474,0.6653543307086613,0.13292307692307692,0.011037924151696608,1.1627906976744187e-05,0.005946481665014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736875995526485,0.03814910025706941,0.0,0.0,0.0,0.19496738117427773
2003-09-14,0.16328828828828826,0.21921052631578947,0.48425196850393704,0.14769230769230768,0.006307385229540919,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17297297297297298
2003-09-21,0.15615615615615616,0.1744736842105263,0.594488188976378,0.14553846153846156,0.010379241516966068,0.0,0.010901883052527254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17260018639328983
2003-09-28,0.15653153153153151,0.23789473684210527,0.5275590551181103,0.13815384615384615,0.019600798403193613,8.58139534883721e-06,0.011892963330029732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32320596458527495
2003-10-05,0.15671921921921922,0.25605263157894737,0.6771653543307087,0.11938461538461538,0.017345309381237524,0.0,0.005946481665014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20503261882572227
2003-10-12,0.15484234234234234,0.25,0.7322834645669293,0.12276923076923077,0.008223552894211577,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21136999068033552
2003-10-19,0.1525900900900901,0.22210526315789475,0.7834645669291338,0.15615384615384617,0.004770459081836328,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572227399813607
2003-10-26,0.15390390390390388,0.26789473684210524,0.7716535433070867,0.0,0.03493013972055888,0.0,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142590866728798
2003-11-02,0.15390390390390388,0.2286842105263158,0.7480314960629921,0.13953846153846156,0.0,0.0,0.005946481665014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923578751164958
2003-11-09,0.15296546546546547,0.20894736842105263,0.7795275590551182,0.14092307692307693,0.029141716566866267,0.0,0.03270564915758176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15619757688723207
2003-11-16,0.15352852852852852,0.35078947368421054,0.7283464566929134,0.14538461538461536,0.011117764471057884,0.0,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6039142590866728
2003-11-23,0.15165165165165165,0.38473684210526315,0.5196850393700787,0.12999999999999998,0.014690618762475051,0.0,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498602050326188
2003-11-30,0.1522147147147147,0.4368421052631579,0.8307086614173229,0.15246153846153845,0.013692614770459082,1.1860465116279069e-05,0.004955401387512388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418452935694315
2003-12-07,0.15240240240240238,0.32210526315789473,0.6653543307086613,0.0,0.0,0.0,0.008919722497522299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017877113905175043,1.0,0.0,0.0,0.0,0.6322460391425909
2003-12-14,0.1540915915915916,0.3763157894736842,0.6811023622047244,0.17969230769230768,0.007684630738522954,0.0,0.006937561942517344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496551724137931
2003-12-21,0.15165165165165165,0.3281578947368421,0.5393700787401575,0.13661538461538464,0.0169061876247505,0.0,0.009910802775024777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6132339235787512
2003-12-28,0.1510885885885886,0.5136842105263157,0.7480314960629921,0.13384615384615384,0.009560878243512974,0.0,0.014866204162537165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958993476234856
2004-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
