Date,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Conductividad Eléctrica,Temperatura de la muestra,Caudal,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Plomo total,Cobre total,Arsénico total,Zinc total,Cadmio total,Mercurio total,Potencial rédox,Hierro total,Cromo Total,Niquel total,Manganeso total
2003-01-05,0.8911860718171926,0.004317789291882556,0.2635009310986965,0.7978723404255319,6.313497822931786e-07,0.0178752107925801,0.0026919140225179117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,0.8868335146898804,0.004317789291882556,0.2917442582247052,0.7659574468085107,6.313497822931786e-07,0.01345699831365936,0.003572159672466735,0.04897959183673474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,0.9270946681175191,0.004317789291882556,0.2703289882060832,0.9148936170212767,6.313497822931786e-07,0.01578414839797639,0.0012589559877175026,0.04897959183673474,0.375,0.016154667917350634,0.038461538461538464,0.014397905759162303,0.0,0.0,0.0,0.000695675276959165,0.0,0.0,0.0
2003-01-26,0.9129488574537542,0.004317789291882556,0.25294847920546243,0.5035460992907801,2.6124818577648764e-06,0.018414839797639124,0.0013715455475946778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,0.850924918389554,0.004317789291882556,0.25232774674115455,0.4645390070921986,1.6545718432510888e-06,0.017166947723440136,0.0017707267144319344,0.04897959183673474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,0.9031556039173015,0.004317789291882556,0.26505276225946617,0.8687943262411347,1.2626995645863572e-06,0.015430016863406408,0.0013920163766632549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,0.8977149075081611,0.004317789291882556,0.26225946617008067,0.9290780141843972,9.143686502177069e-07,0.013709949409780778,0.005046059365404298,0.04897959183673474,0.375,0.011464603038119804,0.038461538461538464,0.015706806282722512,0.0,0.0,0.0,0.0011291613791849762,0.0,0.0,0.0
2003-02-23,0.8639825897714909,0.004317789291882556,0.38019863438857854,0.6276595744680851,4.354136429608128e-06,0.01403035413153457,0.0015353121801432957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,0.8639825897714909,0.13557858376511225,0.07253258845437616,0.5141843971631206,0.0004658925979680697,0.015042158516020235,0.13715455475946775,0.04897959183673474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,0.866158868335147,0.037132987910189985,0.07411545623836127,0.5602836879432624,0.0004985486211901307,0.01478920741989882,0.02835209825997953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-16,0.8650707290533189,0.015544041450777202,0.09354438237119801,0.4184397163120568,0.0003592162554426706,0.0,0.008157625383828044,0.04897959183673474,0.375,0.014070194637692489,0.038461538461538464,0.025523560209424083,0.09276437847866419,0.014533123410439646,0.0,0.001440292533201889,0.08,0.19999999999999998,0.005730994152046784
2003-03-23,0.812114617337686,0.009930915371329879,0.16282847092902958,0.49645390070921985,0.0005268505079825834,0.012774030354131534,0.01218014329580348,0.0,0.375,0.029703744235128587,0.038461538461538464,0.03337696335078534,0.09276437847866419,0.014533123410439646,0.0,0.0017094734192614656,0.08,0.19999999999999998,0.03502923976608187
2003-03-30,0.7889009793253536,0.012953367875647668,0.23494723774053383,0.475177304964539,0.0004963715529753266,0.012327150084317031,0.0031729785056294783,0.04897959183673474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,0.7867247007616975,0.019861830742659757,0.22346368715083798,0.49645390070921985,0.0008730043541364297,0.012394603709949409,0.015046059365404298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-13,0.7845484221980414,0.0069084628670120895,0.30074487895716945,0.5744680851063829,0.00028084179970972427,0.013204047217537943,0.005301944728761515,0.04897959183673474,0.375,0.6216941556580422,0.038461538461538464,1.0,0.0,0.0,0.0,0.0006222623080338258,0.0,0.0,0.0
2003-04-20,0.7616974972796519,0.004317789291882556,0.351024208566108,0.4893617021276596,0.0002590711175616836,0.013743676222596965,0.00714431934493347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-27,0.8579978237214364,0.004317789291882556,0.2482929857231533,0.44148936170212766,0.00016110304789550072,0.015362563237774029,0.006294779938587513,0.04897959183673474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-04,0.867247007616975,0.004317789291882556,0.2883302296710118,0.7127659574468086,0.00012191582002902758,0.017234401349072514,0.002528147389969294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-11,0.8558215451577803,0.004317789291882556,0.25915580384854126,0.5212765957446809,8.272859216255443e-06,0.017672849915682968,0.001187308085977482,0.04897959183673474,0.375,0.059407488470257175,0.038461538461538464,0.08769633507853404,0.0,0.0,0.0,0.00014333008218756665,0.0,0.0,0.0
2003-05-18,0.8384113166485311,0.004317789291882556,0.16232153941651148,0.4184397163120568,9.143686502177069e-07,0.0195531197301855,0.0013101330603889458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
